X,Y,OBJECTID,OFFICIAL_STORE_NAME,STORE_ADDRESS,CDC_STORE_LEVEL,CATEGORY,ZIP
-75.231214812632217,39.976975871995691,638,Valerios Food Market,5455 Lansdowne Ave,2,Basic,19131
-75.127019332119787,39.993611001946533,639,Vargas Mini Market,241 E Cambria St,1,Basic,19134
-75.168020981330514,39.916997125087576,640,Venutis Food Market,2655 S Camac St,2,Basic,19148
-75.158455333640617,39.929189183056671,641,Vics Coffee Shop,1600 S 8Th St,1,Basic,19148
-75.139864128374327,40.011008782122516,642,Villa Vasquez Mini Market,3900 N 7Th St,3,Enhanced,19140
-75.228764231360103,39.971164435226491,643,Vinas Food Market,5401 W Girard Ave,2,Basic,19131
-75.033449150584687,40.037862362023233,644,Vinces Deli,4244 Chippendale St,2,Basic,19136
-75.134323693747518,40.001571743800376,645,Viola Grocery,230 West Wensley Street,2,Basic,19140
-75.237514151670212,39.97306723900715,646,VR Mini Market,5845 Master St,2,Basic,19131
-75.170435564031322,39.966328588446565,647,Wallace Market,2000 Wallace St,3,Certification,19130
-75.169217608205074,40.026292348225233,648,Wayne Associated,5101 Wayne Ave,3,Enhanced,19144
-75.167752012605703,40.025497268254455,649,Wayne Avenue Health Food Store,5007 Wayne Ave,1,Certification,19144
-75.173916069810687,40.028829057060641,650,Wayne Supermarket Inc,5348 Wayne Ave,2,Basic,19144
-75.121632401543181,39.995641162613325,651,Wensle Mini Mart,3061 D St,3,Enhanced,19134
-75.168351606017296,39.999897245851812,652,Weso Mini Market,2964 N 23rd St,3,Enhanced,19132
-75.244867342808064,39.962005920645964,653,West Philadelphia Produce,18 S 62nd St,3,Enhanced,19139
-75.150498978288695,39.931957210945058,654,Wharton Deli & Grocery,349 Wharton St,2,Basic,19147
-75.159926549189578,39.914695087524102,655,Wholly Smokes Cigarette Outlet II,2747 S 7th St,3,Enhanced,19148
-75.160334340548829,39.920628711759136,656,Wolf Mini Market Inc,2300 S 8Th St,2,Basic,19148
-75.166515344142994,39.921416165161695,657,Wolf Variety Store,2301 S 12th St,3,Enhanced,19148
-75.163696339219186,40.044844065917871,658,Woodlawn Deli,5637 Chew Ave,3,Enhanced,19138
-75.168619745962062,39.995822934626553,659,Yadira Grocery,2227 W Lehigh Ave,3,Enhanced,19132
-75.090546761372934,40.014239468974139,660,Yandel Food Market,1362 Unity St,1,Basic,19124
-75.178670280936544,39.982612524488964,661,Yaritza Grocery,1754 N 27th St,2,Basic,19121
-75.172687330481196,39.977666173529308,662,Yasmin Food Market,2236 W Jefferson St,1,Basic,19121
-75.164801101197369,39.970435144944908,663,Yellow Front Market,1700 Ridge Ave,2,Basic,19130
-75.175659981761655,39.996373217446639,664,Yoscar Mini Market,2668 N 27th St,2,Basic,19132
-75.143785989099555,39.995689219937155,665,Yudish Grocery,716 W Cambria St,2,Basic,19133
-75.029716141707269,40.032908022052723,666,Z & Y Food Market,7601 Torresdale Ave,3,Enhanced,19136
-75.231423331479405,39.98475798874734,667,Zabala Super Market,1823 N 54th St,2,Basic,19131
-75.242564698303809,39.913662380122098,668,Zam Zam Market,7333 Elmwood Ave,3,Enhanced,19142
-75.146556456008184,39.975828744763589,669,Zenarda Grocery,643 W Oxford Avenue,3,Enhanced,19122
